time	Zeff
203	1.728756629
203.2	1.687193112
203.4	1.669003339
203.6	1.784818188
203.8	1.787470324
204	1.728032173
204.2	1.70432136
204.4	1.722508601
204.6	1.720936646
204.8	1.776324173
205	1.756833077
205.2	1.706166462
205.4	1.727418505
205.6	1.732028873
205.8	1.809050464
206	1.66016305
206.2	1.604797399
206.4	1.699473852
206.6	1.664302378
206.8	1.766780106
207	1.695678218
207.2	1.655782956
207.4	1.66554486
207.6	1.628120493
207.8	1.663013767
208	1.682114551
208.2	1.634919123
208.4	1.56982403
208.6	1.704149622
208.8	1.709955027
209	1.645321557
209.2	1.689911953
209.4	1.651120333
209.6	1.588374902
209.8	1.651803533
210	1.697055979
210.2	1.647228625
210.4	1.680681398
210.6	1.65984128
210.8	1.660868221
211	1.728038794
211.2	1.773489793
211.4	1.750192644
211.6	1.770868912
211.8	1.666381877
212	1.681650483
212.2	1.674256954
212.4	1.813082578
212.6	1.727733343
212.8	1.754551562
213	1.776598596
213.2	1.722435503
213.4	1.727493304
213.6	1.791369684
213.8	1.686340173
214	1.779423204
214.2	1.79359312
214.4	1.802508858
214.6	1.787472208
214.8	1.730398032
215	1.755175135
215.2	1.786354588
215.4	1.681124544
215.6	1.755394514
215.8	1.692163377
216	1.803857183
216.2	1.734812625
216.4	1.719641596
216.6	1.745853903
216.8	1.807326251
217	1.796980184
217.2	1.855659063
217.4	1.787000864
217.6	1.751965341
217.8	1.803308983
218	1.865995644
218.2	1.777205849
218.4	1.779322686
218.6	1.832722351
218.8	1.877736255
219	1.81056684
219.2	1.850499007
219.4	1.843373657
219.6	1.822357533
219.8	1.866059407
220	1.764782195
220.2	1.849356805
220.4	1.912027867
220.6	1.817325738
220.8	1.873663772
221	1.788302852
221.2	1.854325505
221.4	1.870155334
221.6	2.107078849
221.8	1.933658368
222	2.004024033
222.2	1.915326915
222.4	1.918020577
222.6	1.877545241
222.8	1.914142311
223	1.888158638
223.2	1.810733796
223.4	1.95806726
223.6	1.893762073
223.8	2.012559602
224	1.995975468
224.2	2.044141902
224.4	1.886960357
224.6	1.920658042
224.8	1.987397913
225	1.911989901
225.2	2.120506417
225.4	1.980908378
225.6	2.081531553
225.8	2.021575404
226	1.999076265
226.2	2.031929652
226.4	1.967805438
226.6	2.00307198
226.8	2.057968045
227	1.993617291
227.2	1.999724931
227.4	2.037583279
227.6	2.046095848
227.8	2.027600214
228	2.006219693
228.2	1.890417527
228.4	1.903374421
228.6	2.040319984
228.8	1.861481238
229	2.042993135
229.2	1.936766947
229.4	1.923793509
229.6	1.963306387
229.8	1.965853245
230	1.989979761
230.2	1.964836207
230.4	2.046221645
230.6	2.0789548
230.8	2.110941327
231	2.061168579
231.2	1.971631743
231.4	2.090509186
231.6	2.102600774
231.8	2.064892683
232	2.074991421
232.2	2.007189987
232.4	2.222630752
232.6	2.164161929
232.8	2.054530741
233	1.946274321
233.2	2.116172788
233.4	2.040254402
233.6	1.914354082
233.8	2.012415465
234	1.851612505
234.2	1.922723526
234.4	1.920021548
234.6	1.892590782
234.8	1.881564901
235	1.976726296
235.2	1.826139947
235.4	1.826447326
235.6	1.880971025
235.8	1.768074363
236	1.846607578
236.2	1.857742852
236.4	1.845565631
236.6	1.855967167
236.8	1.901636297
237	1.910675789
237.2	1.88338289
237.4	1.902699083
237.6	1.942723199
237.8	1.896049996
238	1.934274586
238.2	1.850291535
238.4	1.80462849
238.6	1.780711789
238.8	1.888966841
239	1.875608488
239.2	1.882141902
239.4	1.873436721
239.6	1.84864701
239.8	1.829170704
240	1.782856767
240.2	1.85087308
240.4	1.845841917
240.6	1.816744053
240.8	1.803543281
241	1.789316318
241.2	1.909736903
241.4	1.760118335
241.6	1.808332592
241.8	1.822163052
242	1.732871237
242.2	1.684602343
242.4	1.792818904
242.6	1.730908097
242.8	1.709645134
243	1.731141364
243.2	1.795732327
243.4	1.76553983
243.6	1.725659028
243.8	1.683268148
244	1.720304931
244.2	1.704246927
244.4	1.708972049
244.6	1.74970556
244.8	1.731595893
245	1.703521372
245.2	1.702331077
245.4	1.613999613
245.6	1.685728785
245.8	1.613572696
246	1.678404014
246.2	1.718098798
246.4	1.828569761
246.6	1.745061309
246.8	1.80624125
247	1.699777763
247.2	1.670003666
247.4	1.703755211
247.6	1.746935446
247.8	1.837755094
248	1.784361286
248.2	1.735747703
248.4	1.766252695
248.6	1.910251825
248.8	1.806222868
249	1.788723469
249.2	1.85683127
249.4	1.874958094
249.6	1.661395343
249.8	1.801118689
250	1.708028365
250.2	1.727767053
250.4	1.757363314
250.6	1.681382599
250.8	1.724860109
251	1.750945856
251.2	1.657402356
251.4	1.655632163
251.6	1.78283975
251.8	1.680971202
252	1.809424997
252.2	1.741033034
252.4	1.785860768
252.6	1.744426214
252.8	1.645880666
253	1.751361047
253.2	1.685698003
253.4	1.750215976
253.6	1.82771461
253.8	1.789383787
254	1.788083874
254.2	1.754874324
254.4	1.848183042
254.6	1.807795874
254.8	1.829441415
255	1.843852506
255.2	1.804427529
255.4	1.836133199
255.6	1.809311693
255.8	1.85489988
256	1.798154808
256.2	1.688550803
256.4	1.733319205
256.6	1.812261098
256.8	1.793113568
257	1.847087275
257.2	1.928370285
257.4	1.882577393
257.6	1.828734834
257.8	1.790152516
258	1.86152226
258.2	1.755919892
258.4	1.844772987
258.6	1.788111899
258.8	1.858644094
259	1.93096801
259.2	1.844882935
259.4	1.822312406
259.6	1.939354663
259.8	1.927186894
260	1.811148031
260.2	1.824979767
260.4	1.882580882
260.6	1.919473371
260.8	1.942611516
261	1.978007218
261.2	1.970952195
261.4	1.958578101
261.6	1.980546828
261.8	1.99853861
262	2.115196809
262.2	2.144004319
262.4	2.069751376
262.6	2.132351389
262.8	2.175806175
263	2.186491949
263.2	2.069858304
263.4	2.098747612
263.6	2.16883867
263.8	2.147454684
264	2.130141623
264.2	2.109329635
264.4	2.101582292
